ID,Orderable Part,Root Part,ProductFamily,description,ProductLifeCycle
1,5962-8976301M2A,DG401,Signal Chain,"Improved, Dual, High-Speed Analog Switch",PRODUCTION
2,5962-9073101M2A,5962-XXX,Signal Chain,"IMPROVED, QUAD, SPST ANALOG SWITCHES",PRODUCTION
3,5962-9073103M2A,5962-XXX,Signal Chain,"IMPROVED, QUAD, SPST ANALOG SWITCHES",PRODUCTION
4,5962-9204102M2C,DG442,Signal Chain,"Improved, Quad, SPST Analog Switch",PRODUCTION
5,5962-9326702M2C,MAX706,Signal Chain,MICROPROCESSOR SUPERVISORY CIRCUIT,PRODUCTION
6,5962-9326704M2A,5962-XXX,Signal Chain,Microprocessor Supervisory Circuit,PRODUCTION
7,5962-9456503M2A,5962-XXX,Signal Chain,"PLUS 5V-POWERED MULTI-CHANNEL, RS-232 DRIVERS/RECEIVERS",PRODUCTION
8,68HC16MODULE-DIP,68HC16MODULE,Power & Data Conv,68HC16MODULE-DIP EVAL KIT,PRODUCTION
9,73M2901CE-IGV/F,73M2901CE,Legacy Micros,"v.22bis-CID, PPU, LIU, SW Ring Detct",MATURE
10,73M2901CE-IGVR/F,73M2901CE,Legacy Micros,"v.22bis-CID, PPU, LIU, SW Ring Detct",MATURE
11,73M2901CE-IM/F,73M2901CE,Legacy Micros,"V.22bis-CID, PPU, LIU, SW Ring Detect",MATURE
12,73M2901CE-IMR/F,73M2901CE,Legacy Micros,"V.22bis-CID, PPU, LIU, SW Ring Detct",MATURE
13,73M2901CL-IGV/F,73M2901,Legacy Micros,"v.22bis Modem w/ CID, PPU, LIU",MATURE
14,73S8010C-ILR/F,73S8010C,Legacy Micros,Smt Crd Intrfce w/Step-Up/I2C,LAST TIME BUY
15,78P2351-IGT/F,78P2351,Legacy Micros,1 Chnl OC3/STSM-1/STS-3/E4 Transcvr,MATURE
16,78P2351-IGTR/F,78P2351,Legacy Micros,1 Chnl OC3/STSM-1/STS-3/E4 Transcvr,MATURE
17,78P2351R-IM/F,78P2351R,Legacy Micros,1 Chnl OC3/STSM-1/STS-3/E4 Transcvr,MATURE
18,78P2351R-IMR/F,78P2351R,Legacy Micros,1 Chnl OC3/STSM-1/STS-3/E4 Transcvr,MATURE
19,78P2352-IGT/F,78P2352,Legacy Micros,1 Chnl OC3/STSM-1/STS-3/E4 Transcvr,MATURE
20,78P2352-IGTR/F,78P2352,Legacy Micros,2 Chnl OC3/STSM-1/STS-3/E4 Transcvr,MATURE
21,78Q2123/F,78Q2123,Legacy Micros,10/100 Base Tx Transcvr  w/MDIX,MATURE
22,78Q2123R/F,78Q2123,Legacy Micros,10/100 Base Tx Transcvr  w/MDIX,MATURE
23,78Q2133/F,78Q2133,Legacy Micros,10/100 Base Tx Transcvr  w/MDIX-IND,MATURE
24,78Q2133R/F,78Q2133,Legacy Micros,10/100 BASE TX TRANSCVR  W/MDIX-IND,MATURE
25,78Q2133S/F,78Q2133S,Legacy Micros,10/100 Base Tx Transcvr w/MDIX-Industrial,MATURE
26,78Q2133SR/F,78Q2133S,Legacy Micros,10/100 Base Tx Transcvr w/MDIX-Industrial,MATURE
27,806-0480-30+D,806-0480,Timing & Datacom,GPS Receiver,PRODUCTION
28,806-0480-30+TD,806-0480,Timing & Datacom,GPS Receiver,PRODUCTION
29,806-0506-30+,806-0506,Timing & Datacom,Frequency Demodulator,PRODUCTION
30,806-0525-32+,806-0525,Timing & Datacom,GPS Receiver,PRODUCTION
31,806-0600-32+D,806-0600,Timing & Datacom,Fiber Module,PRODUCTION
32,806-0636-20+D,806-0636,Timing & Datacom,ASIC GEN III RX Pb-free,PRODUCTION
33,806-0674-20+D,806-0674,Timing & Datacom,Mux Comparator,LAST TIME BUY
